# I(Q)
#Q (1/A)	I (1/cm)	dI (1/cm)	dQ (1/A)
4.850000E-02	1.104000E+01	3.321000E-02	3.333000E-03
4.983000E-02	1.049000E+01	3.621000E-02	3.389000E-03
4.996000E-02	1.030000E+01	8.604000E-02	4.807000E-03
5.116000E-02	9.937000E+00	3.121000E-02	3.445000E-03
5.248000E-02	9.527000E+00	2.882000E-02	3.501000E-03
5.381000E-02	9.031000E+00	2.818000E-02	3.558000E-03
5.394000E-02	8.832000E+00	7.711000E-02	4.928000E-03
5.514000E-02	8.564000E+00	2.846000E-02	3.616000E-03
5.646000E-02	8.167000E+00	2.588000E-02	3.674000E-03
5.779000E-02	7.724000E+00	2.535000E-02	3.732000E-03
5.793000E-02	7.573000E+00	6.261000E-02	5.055000E-03
5.911000E-02	7.281000E+00	2.305000E-02	3.791000E-03
6.044000E-02	6.959000E+00	2.353000E-02	3.850000E-03
6.176000E-02	6.622000E+00	2.279000E-02	3.910000E-03
6.192000E-02	6.455000E+00	5.459000E-02	5.187000E-03
6.309000E-02	6.269000E+00	1.963000E-02	3.970000E-03
6.441000E-02	5.943000E+00	2.077000E-02	4.030000E-03
6.573000E-02	5.640000E+00	1.887000E-02	4.091000E-03
6.590000E-02	5.534000E+00	4.445000E-02	5.325000E-03
6.706000E-02	5.344000E+00	1.926000E-02	4.152000E-03
6.838000E-02	5.048000E+00	1.828000E-02	4.213000E-03
6.971000E-02	4.816000E+00	1.715000E-02	4.274000E-03
6.988000E-02	4.727000E+00	4.108000E-02	5.467000E-03
7.103000E-02	4.576000E+00	1.713000E-02	4.336000E-03
7.235000E-02	4.320000E+00	1.641000E-02	4.398000E-03
7.367000E-02	4.102000E+00	1.577000E-02	4.460000E-03
7.386000E-02	4.020000E+00	3.336000E-02	5.614000E-03
7.500000E-02	3.889000E+00	1.515000E-02	4.523000E-03
7.632000E-02	3.687000E+00	1.523000E-02	4.586000E-03
7.764000E-02	3.500000E+00	1.391000E-02	4.649000E-03
7.783000E-02	3.460000E+00	2.632000E-02	5.765000E-03
7.896000E-02	3.311000E+00	1.450000E-02	4.712000E-03
8.028000E-02	3.149000E+00	1.558000E-02	4.775000E-03
8.161000E-02	3.004000E+00	1.466000E-02	4.839000E-03
8.181000E-02	2.941000E+00	2.144000E-02	5.919000E-03
8.293000E-02	2.835000E+00	1.355000E-02	4.902000E-03
8.425000E-02	2.693000E+00	1.501000E-02	4.966000E-03
8.557000E-02	2.548000E+00	1.477000E-02	5.030000E-03
8.578000E-02	2.506000E+00	1.586000E-02	6.077000E-03
8.689000E-02	2.402000E+00	1.480000E-02	5.095000E-03
8.821000E-02	2.341000E+00	1.513000E-02	5.159000E-03
8.952000E-02	2.178000E+00	1.687000E-02	5.224000E-03
8.975000E-02	2.150000E+00	1.466000E-02	6.238000E-03
9.084000E-02	2.068000E+00	1.663000E-02	5.288000E-03
9.371000E-02	1.842000E+00	1.348000E-02	6.402000E-03
9.768000E-02	1.611000E+00	1.103000E-02	6.569000E-03
1.016000E-01	1.381000E+00	1.015000E-02	6.738000E-03
1.056000E-01	1.188000E+00	8.023000E-03	6.909000E-03
1.095000E-01	1.054000E+00	8.731000E-03	7.082000E-03
1.135000E-01	9.115000E-01	7.542000E-03	7.257000E-03
1.174000E-01	7.909000E-01	6.133000E-03	7.433000E-03
1.214000E-01	7.062000E-01	5.739000E-03	7.612000E-03
1.253000E-01	6.236000E-01	5.435000E-03	7.791000E-03
1.293000E-01	5.592000E-01	4.809000E-03	7.972000E-03
1.332000E-01	5.069000E-01	4.506000E-03	8.154000E-03
1.371000E-01	4.595000E-01	4.387000E-03	8.338000E-03
1.410000E-01	4.151000E-01	3.617000E-03	8.522000E-03
1.449000E-01	3.794000E-01	3.964000E-03	8.707000E-03
1.489000E-01	3.449000E-01	3.244000E-03	8.893000E-03
1.528000E-01	3.171000E-01	3.174000E-03	9.080000E-03
1.567000E-01	2.965000E-01	3.287000E-03	9.268000E-03
1.606000E-01	2.712000E-01	2.990000E-03	9.456000E-03
1.645000E-01	2.552000E-01	2.727000E-03	9.644000E-03
1.683000E-01	2.413000E-01	2.678000E-03	9.834000E-03
1.722000E-01	2.250000E-01	2.622000E-03	1.002000E-02
1.761000E-01	2.097000E-01	2.161000E-03	1.021000E-02
1.800000E-01	2.016000E-01	2.257000E-03	1.040000E-02
1.838000E-01	1.899000E-01	2.282000E-03	1.059000E-02
1.877000E-01	1.850000E-01	2.325000E-03	1.079000E-02
1.915000E-01	1.720000E-01	1.871000E-03	1.098000E-02
1.954000E-01	1.655000E-01	2.234000E-03	1.117000E-02
1.992000E-01	1.613000E-01	2.035000E-03	1.136000E-02
2.031000E-01	1.526000E-01	2.010000E-03	1.155000E-02
2.069000E-01	1.470000E-01	1.905000E-03	1.174000E-02
2.107000E-01	1.451000E-01	1.953000E-03	1.194000E-02
2.145000E-01	1.373000E-01	1.697000E-03	1.213000E-02
2.184000E-01	1.359000E-01	1.822000E-03	1.232000E-02
2.222000E-01	1.291000E-01	1.874000E-03	1.251000E-02
2.260000E-01	1.249000E-01	1.846000E-03	1.271000E-02
2.297000E-01	1.215000E-01	1.708000E-03	1.290000E-02
2.335000E-01	1.186000E-01	1.674000E-03	1.309000E-02
2.373000E-01	1.176000E-01	1.795000E-03	1.328000E-02
2.411000E-01	1.127000E-01	1.706000E-03	1.347000E-02
2.448000E-01	1.101000E-01	1.586000E-03	1.367000E-02
2.486000E-01	1.103000E-01	1.786000E-03	1.386000E-02
2.523000E-01	1.070000E-01	1.889000E-03	1.405000E-02
2.561000E-01	1.016000E-01	1.952000E-03	1.424000E-02
2.598000E-01	1.044000E-01	1.879000E-03	1.443000E-02
2.635000E-01	9.878000E-02	1.655000E-03	1.462000E-02
2.673000E-01	1.013000E-01	1.726000E-03	1.481000E-02
2.710000E-01	9.599000E-02	1.800000E-03	1.500000E-02
2.747000E-01	9.409000E-02	1.829000E-03	1.520000E-02
2.784000E-01	9.250000E-02	1.578000E-03	1.539000E-02
2.820000E-01	9.569000E-02	2.019000E-03	1.558000E-02
2.857000E-01	9.381000E-02	1.666000E-03	1.577000E-02
2.894000E-01	8.926000E-02	1.604000E-03	1.596000E-02
2.930000E-01	8.824000E-02	1.938000E-03	1.614000E-02
2.967000E-01	8.908000E-02	1.751000E-03	1.633000E-02
3.003000E-01	9.070000E-02	1.530000E-03	1.652000E-02
3.040000E-01	8.448000E-02	1.686000E-03	1.671000E-02
3.076000E-01	8.406000E-02	1.802000E-03	1.690000E-02
3.112000E-01	8.589000E-02	1.731000E-03	1.709000E-02
3.148000E-01	8.368000E-02	1.854000E-03	1.727000E-02
3.184000E-01	8.266000E-02	1.596000E-03	1.746000E-02
3.220000E-01	8.554000E-02	1.815000E-03	1.765000E-02
3.256000E-01	8.254000E-02	1.837000E-03	1.783000E-02
3.292000E-01	8.209000E-02	1.779000E-03	1.802000E-02
3.327000E-01	8.000000E-02	1.431000E-03	1.821000E-02
3.363000E-01	8.234000E-02	1.710000E-03	1.839000E-02
3.398000E-01	7.961000E-02	1.866000E-03	1.858000E-02
3.434000E-01	7.798000E-02	1.901000E-03	1.876000E-02
3.469000E-01	7.839000E-02	1.844000E-03	1.894000E-02
3.504000E-01	7.948000E-02	1.703000E-03	1.913000E-02
3.539000E-01	7.577000E-02	1.707000E-03	1.931000E-02
3.574000E-01	7.971000E-02	1.739000E-03	1.949000E-02
3.609000E-01	7.434000E-02	1.620000E-03	1.968000E-02
3.644000E-01	7.892000E-02	1.636000E-03	1.986000E-02
3.679000E-01	7.379000E-02	1.535000E-03	2.004000E-02
3.713000E-01	7.837000E-02	1.832000E-03	2.022000E-02
3.748000E-01	7.698000E-02	1.624000E-03	2.040000E-02
3.782000E-01	7.521000E-02	1.882000E-03	2.058000E-02
3.817000E-01	7.515000E-02	1.698000E-03	2.076000E-02
3.851000E-01	7.421000E-02	1.646000E-03	2.094000E-02
3.885000E-01	7.348000E-02	1.737000E-03	2.112000E-02
3.919000E-01	7.288000E-02	1.539000E-03	2.130000E-02
3.953000E-01	7.347000E-02	1.813000E-03	2.148000E-02
3.987000E-01	7.274000E-02	1.624000E-03	2.165000E-02
4.021000E-01	7.251000E-02	1.583000E-03	2.183000E-02
4.054000E-01	7.086000E-02	1.746000E-03	2.201000E-02
4.088000E-01	7.310000E-02	1.788000E-03	2.218000E-02
4.121000E-01	7.110000E-02	1.819000E-03	2.236000E-02
4.155000E-01	7.194000E-02	1.882000E-03	2.253000E-02
4.188000E-01	7.192000E-02	1.678000E-03	2.271000E-02
4.221000E-01	7.003000E-02	1.878000E-03	2.288000E-02
4.254000E-01	7.171000E-02	1.988000E-03	2.306000E-02
4.287000E-01	7.246000E-02	2.305000E-03	2.323000E-02
4.320000E-01	6.911000E-02	2.141000E-03	2.340000E-02
4.352000E-01	6.886000E-02	2.222000E-03	2.357000E-02
4.385000E-01	6.840000E-02	2.508000E-03	2.375000E-02
4.417000E-01	7.078000E-02	2.911000E-03	2.392000E-02
